,Amount missing,Persentage missing
"PreInt_DevHx,puberty_age",674,47.599
"CBCL,CBCL_113A",605,42.726
"PreInt_DevHx,skill_age_12",597,42.161
"PreInt_DevHx,skill_age_14",569,40.184
"PreInt_DevHx,labor_dur",487,34.393
"PreInt_EduHx,getalongkids_neighborhood",287,20.268
"PreInt_EduHx,absent_skipping",253,17.867
"PreInt_DevHx,birthweight_ozs",249,17.585
"PreInt_DevHx,skill_age_06",241,17.020
"PreInt_DevHx,hospital_dur",241,17.020
"PreInt_EduHx,absent_other",240,16.949
"PreInt_EduHx,absent_late",233,16.455
"PreInt_EduHx,absent_ill",227,16.031
"PreInt_EduHx,recent_grades",211,14.901
"PreInt_DevHx,premature",169,11.935
"SDQ,SDQ_27",149,10.523
"SDQ,SDQ_28",145,10.240
"SDQ,SDQ_29_d",143,10.099
"SDQ,SDQ_29_b",138,9.746
"SDQ,SDQ_29_c",138,9.746
"PreInt_EduHx,current_religious",136,9.605
"SDQ,SDQ_29_a",135,9.534
"PreInt_DevHx,newborn_problems",133,9.393
"SDQ,SDQ_30",131,9.251
"PreInt_EduHx,number_friends",118,8.333
"PreInt_DevHx,birthweight_lbs",115,8.121
"PreInt_DevHx,m_birthage",98,6.921
"APQ_SR,APQ_SR_20A",93,6.568
"APQ_SR,APQ_SR_15A",91,6.427
"APQ_SR,APQ_SR_09A",90,6.356
"APQ_SR,APQ_SR_14A",88,6.215
"APQ_SR,APQ_SR_07A",88,6.215
"APQ_SR,APQ_SR_11A",88,6.215
"APQ_SR,APQ_SR_04A",87,6.144
"APQ_SR,APQ_SR_26A",87,6.144
"APQ_SR,APQ_SR_01A",80,5.650
"CBCL,CBCL_56H",73,5.155
"PreInt_DevHx,complications",73,5.155
"WHODAS_P,WHODAS_P_Days03",67,4.732
"WHODAS_P,WHODAS_P_Days01",63,4.449
"WHODAS_SR,WHODAS_SR_Days01",60,4.237
"WHODAS_P,WHODAS_P_Days02",59,4.167
"PreInt_EduHx,afterschoolteams",56,3.955
"WHODAS_SR,WHODAS_SR_Days03",55,3.884
"WHODAS_SR,WHODAS_SR_Days02",52,3.672
"PreInt_EduHx,bullied",41,2.895
"PreInt_EduHx,getalongkids_school",40,2.825
"CCSC,CCSC_51",37,2.613
"CCSC,CCSC_44",34,2.401
"CCSC,CCSC_56",33,2.331
"CCSC,CCSC_34",31,2.189
"PreInt_EduHx,suspension",31,2.189
"PreInt_DevHx,preg_dur",29,2.048
"CBCL,CBCL_41",28,1.977
"SCQ,SCQ_02",26,1.836
"PreInt_EduHx,school_difficulty",26,1.836
"SCQ,SCQ_03",25,1.766
"SCQ,SCQ_07",25,1.766
"SCQ,SCQ_06",25,1.766
"SCQ,SCQ_04",25,1.766
"NIH_Scores,NIH7_List",24,1.695
"SCQ,SCQ_05",24,1.695
"PreInt_EduHx,expulsion",24,1.695
"PreInt_EduHx,tutor",23,1.624
"PreInt_DevHx,delivery",23,1.624
"NIH_Scores,NIH7_Pattern",21,1.483
"ESWAN,Panic_B13",20,1.412
"Barratt,financialsupport",19,1.342
"PreInt_DevHx,puberty",19,1.342
"WISC,WISC_FSIQ",19,1.342
"WISC,WISC_PSI",19,1.342
"PreInt_EduHx,detention",18,1.271
"ESWAN,Panic_B12",18,1.271
"ESWAN,Panic_B11",17,1.201
"ESWAN,DMDD_10C",16,1.130
"ESWAN,Panic_A03B",16,1.130
"ESWAN,Panic_B02",16,1.130
"ESWAN,Panic_B09",15,1.059
"ESWAN,Panic_B08",15,1.059
"ESWAN,Panic_A03A",15,1.059
"ESWAN,Panic_B05",15,1.059
"ESWAN,Panic_B10",14,0.989
"ESWAN,Panic_B06",14,0.989
"ESWAN,Panic_A02B",14,0.989
"ESWAN,Panic_A01B",14,0.989
"ESWAN,DMDD_10B",14,0.989
"ESWAN,Panic_A01A",12,0.847
"ESWAN,Panic_A02A",12,0.847
"ESWAN,Panic_B01",12,0.847
"ESWAN,Panic_B03",12,0.847
"SympChck,CSC_26P",12,0.847
"ESWAN,Panic_B04",12,0.847
"ESWAN,Panic_B07",12,0.847
"SDQ,SDQ_24",12,0.847
"SympChck,CSC_32C",11,0.777
"PreInt_DevHx,lost_skills",11,0.777
"ESWAN,DMDD_4C",11,0.777
"NIH_Scores,NIH7_Card",11,0.777
"SympChck,CSC_25P",11,0.777
"SympChck,CSC_31P",10,0.706
"SympChck,CSC_22P",10,0.706
"PreInt_EduHx,family_religious",10,0.706
"SympChck,CSC_45P",10,0.706
"CBCL,CBCL_30",10,0.706
"SympChck,CSC_39P",10,0.706
"SympChck,CSC_37P",10,0.706
"ESWAN,DMDD_8C",10,0.706
"SympChck,CSC_33P",10,0.706
"NIH_Scores,NIH7_Flanker",10,0.706
"SympChck,CSC_06P",9,0.636
"SDQ,SDQ_12",9,0.636
"CCSC,CCSC_42",9,0.636
"CCSC,CCSC_28",9,0.636
"SympChck,CSC_54P",9,0.636
"SympChck,CSC_55bP",9,0.636
"SympChck,CSC_30P",9,0.636
"SympChck,CSC_15P",9,0.636
"SympChck,CSC_55dC",9,0.636
"ESWAN,DMDD_7C",9,0.636
"SympChck,CSC_12P",9,0.636
"SympChck,CSC_11P",9,0.636
"SympChck,CSC_21P",8,0.565
"SympChck,CSC_10P",8,0.565
"SympChck,CSC_50P",8,0.565
"SWAN,SWAN_17",8,0.565
"PreInt_EduHx,bestfriend",8,0.565
"ESWAN,DMDD_2C",8,0.565
"SympChck,CSC_47P",8,0.565
"SympChck,CSC_38P",8,0.565
"RBS,RBS_27",8,0.565
"SympChck,CSC_32P",8,0.565
"ESWAN,DMDD_8B",8,0.565
"ESWAN,DMDD_9B",7,0.494
"APQ_SR,APQ_SR_24",7,0.494
"ESWAN,DMDD_5C",7,0.494
"ESWAN,DMDD_8A",7,0.494
"CBCL,CBCL_85",7,0.494
"CBCL,CBCL_84",7,0.494
"CBCL,CBCL_70",7,0.494
"ESWAN,DMDD_9C",7,0.494
"CCSC,CCSC_37",7,0.494
"APQ_P,APQ_P_06",7,0.494
"CCSC,CCSC_27",7,0.494
"CCSC,CCSC_26",7,0.494
"CCSC,CCSC_14",7,0.494
"SympChck,CSC_03P",7,0.494
"SDQ,SDQ_22",7,0.494
"SympChck,CSC_55hC",7,0.494
"SDQ,SDQ_23",7,0.494
"ESWAN,DMDD_9A",7,0.494
"WHODAS_P,WHODAS_P_12",7,0.494
"SympChck,CSC_55iC",7,0.494
"SympChck,CSC_08C",7,0.494
"SympChck,CSC_23P",7,0.494
"SympChck,CSC_20C",7,0.494
"SympChck,CSC_46P",7,0.494
"SympChck,CSC_36P",7,0.494
"SympChck,CSC_39C",7,0.494
"SympChck,CSC_55aP",7,0.494
"SympChck,CSC_26C",7,0.494
"SympChck,CSC_48P",7,0.494
"SympChck,CSC_24P",7,0.494
"CCSC,CCSC_45",7,0.494
"SympChck,CSC_55fP",7,0.494
"CCSC,CCSC_40",7,0.494
"CBCL,CBCL_79",6,0.424
"SympChck,CSC_41P",6,0.424
"SDQ,SDQ_04",6,0.424
"ESWAN,DMDD_5A",6,0.424
"SympChck,CSC_42P",6,0.424
"ESWAN,DMDD_7B",6,0.424
"CBCL,CBCL_86",6,0.424
"SympChck,CSC_37C",6,0.424
"C3SR,C3SR_36",6,0.424
"SympChck,CSC_45C",6,0.424
"CBCL,CBCL_65",6,0.424
"SympChck,CSC_35P",6,0.424
"APQ_SR,APQ_SR_23",6,0.424
"SDQ,SDQ_14",6,0.424
"SDQ,SDQ_16",6,0.424
"C3SR,C3SR_19",6,0.424
"SWAN,SWAN_18",6,0.424
"PCIAT,PCIAT_16",6,0.424
"APQ_SR,APQ_SR_18",6,0.424
"SDQ,SDQ_25",6,0.424
"APQ_SR,APQ_SR_17",6,0.424
"SympChck,CSC_29P",6,0.424
"CBCL,CBCL_112",6,0.424
"APQ_SR,APQ_SR_32",6,0.424
"ESWAN,DMDD_6B",6,0.424
"APQ_SR,APQ_SR_12",6,0.424
"CCSC,CCSC_24",6,0.424
"ESWAN,MDD_8B",6,0.424
"SympChck,CSC_55aC",6,0.424
"CCSC,CCSC_41",6,0.424
"RBS,RBS_24",6,0.424
"WIAT,WIAT_Num_Stnd",6,0.424
"SympChck,CSC_16P",6,0.424
"SympChck,CSC_54C",6,0.424
"SympChck,CSC_55gP",6,0.424
"SympChck,CSC_53P",6,0.424
"SympChck,CSC_18P",6,0.424
"SympChck,CSC_20P",6,0.424
"SympChck,CSC_19P",6,0.424
"APQ_SR,APQ_SR_16",5,0.353
"RBS,RBS_44",5,0.353
"APQ_SR,APQ_SR_20",5,0.353
"APQ_SR,APQ_SR_19",5,0.353
"RBS,RBS_28",5,0.353
"APQ_SR,APQ_SR_14",5,0.353
"CBCL,CBCL_09",5,0.353
"APQ_SR,APQ_SR_15",5,0.353
"SWAN,SWAN_15",5,0.353
"RBS,RBS_25",5,0.353
"RBS,RBS_26",5,0.353
"SympChck,CSC_44P",5,0.353
"PreInt_EduHx,repeated_grades",5,0.353
"SWAN,SWAN_12",5,0.353
"CBCL,CBCL_29",5,0.353
"SAS,SAS_07",5,0.353
"C3SR,C3SR_18",5,0.353
"APQ_SR,APQ_SR_21",5,0.353
"CBCL,CBCL_56D",5,0.353
"SRS,SRS_37",5,0.353
"APQ_P,APQ_P_28",5,0.353
"SCARED_SR,SCARED_SR_30",5,0.353
"CBCL,CBCL_82",5,0.353
"CBCL,CBCL_56C",5,0.353
"CBCL,CBCL_55",5,0.353
"SRS,SRS_21",5,0.353
"CIS_SR,CIS_SR_03",5,0.353
"APQ_SR,APQ_SR_33",5,0.353
"CBCL,CBCL_40",5,0.353
"APQ_SR,APQ_SR_28",5,0.353
"ICU_P,ICU_P_15",5,0.353
"SRS,SRS_15",5,0.353
"CBCL,CBCL_67",5,0.353
"SympChck,CSC_43P",5,0.353
"SympChck,CSC_55gC",5,0.353
"ESWAN,DMDD_10A",5,0.353
"SympChck,CSC_51P",5,0.353
"DTS,DTS_13",5,0.353
"DTS,DTS_14",5,0.353
"CCSC,CCSC_47",5,0.353
"SympChck,CSC_28C",5,0.353
"CCSC,CCSC_32",5,0.353
"CCSC,CCSC_52",5,0.353
"SympChck,CSC_53C",5,0.353
"SympChck,CSC_27C",5,0.353
"CCSC,CCSC_50",5,0.353
"SympChck,CSC_52C",5,0.353
"ESWAN,DMDD_6A",5,0.353
"ESWAN,DMDD_6C",5,0.353
"CCSC,CCSC_48",5,0.353
"ESWAN,DMDD_7A",5,0.353
"CCSC,CCSC_18",5,0.353
"SympChck,CSC_13P",5,0.353
"CCSC,CCSC_20",5,0.353
"ESWAN,SocAnx_05",5,0.353
"SDQ,SDQ_15",5,0.353
"DTS,DTS_07",5,0.353
"APQ_P,APQ_P_37",5,0.353
"SympChck,CSC_55bC",5,0.353
"SDQ,SDQ_19",5,0.353
"SympChck,CSC_55hP",5,0.353
"SympChck,CSC_55iP",5,0.353
"CCSC,CCSC_46",5,0.353
"SympChck,CSC_07P",5,0.353
"SympChck,CSC_55eP",5,0.353
"SympChck,CSC_55eC",5,0.353
"CBCL,CBCL_53",4,0.282
"SAS,SAS_09",4,0.282
"CCSC,CCSC_55",4,0.282
"CCSC,CCSC_49",4,0.282
"CBCL,CBCL_44",4,0.282
"SympChck,CSC_09P",4,0.282
"RBS,RBS_09",4,0.282
"SympChck,CSC_15C",4,0.282
"RBS,RBS_12",4,0.282
"RBS,RBS_13",4,0.282
"CCSC,CCSC_43",4,0.282
"SympChck,CSC_17P",4,0.282
"CCSC,CCSC_53",4,0.282
"ESWAN,MDD_7",4,0.282
"RBS,RBS_21",4,0.282
"ESWAN,MDD_8A",4,0.282
"SympChck,CSC_33C",4,0.282
"SympChck,CSC_25C",4,0.282
"SAS,SAS_06",4,0.282
"ESWAN,SocAnx_03",4,0.282
"SympChck,CSC_30C",4,0.282
"SympChck,CSC_34P",4,0.282
"APQ_SR,APQ_SR_04",4,0.282
"PCIAT,PCIAT_07",4,0.282
"PCIAT,PCIAT_14",4,0.282
"PCIAT,PCIAT_17",4,0.282
"PCIAT,PCIAT_19",4,0.282
"PCIAT,PCIAT_20",4,0.282
"SympChck,CSC_35C",4,0.282
"ESWAN,SocAnx_04B",4,0.282
"APQ_SR,APQ_SR_26",4,0.282
"SympChck,CSC_36C",4,0.282
"SCARED_P,SCARED_P_34",4,0.282
"CBCL,CBCL_66",4,0.282
"ESWAN,SocAnx_02",4,0.282
"SCARED_P,SCARED_P_30",4,0.282
"ESWAN,DMDD_1C",4,0.282
"ESWAN,SocAnx_01",4,0.282
"SympChck,CSC_27P",4,0.282
"CIS_P,CIS_P_10",4,0.282
"PSI,PSI_10",4,0.282
"CBCL,CBCL_96",4,0.282
"CBCL,CBCL_92",4,0.282
"ESWAN,DMDD_5B",4,0.282
"APQ_P,APQ_P_30",4,0.282
"CBCL,CBCL_73",4,0.282
"APQ_P,APQ_P_36",4,0.282
"WHODAS_SR,WHODAS_SR_11",4,0.282
"SWAN,SWAN_10",4,0.282
"SWAN,SWAN_03",4,0.282
"CCSC,CCSC_19",4,0.282
"SCARED_SR,SCARED_SR_39",4,0.282
"CIS_SR,CIS_SR_07",4,0.282
"SWAN,SWAN_11",4,0.282
"ASSQ,ASSQ_12",4,0.282
"SCARED_SR,SCARED_SR_29",4,0.282
"SRS,SRS_51",4,0.282
"C3SR,C3SR_25",4,0.282
"CCSC,CCSC_06",4,0.282
"C3SR,C3SR_39",4,0.282
"SWAN,SWAN_16",4,0.282
"C3SR,C3SR_35",4,0.282
"SDQ,SDQ_06",4,0.282
"C3SR,C3SR_34",4,0.282
"C3SR,C3SR_33",4,0.282
"SRS,SRS_44",4,0.282
"SympChck,CSC_05P",4,0.282
"SDQ,SDQ_17",4,0.282
"SCARED_SR,SCARED_SR_28",4,0.282
"SympChck,CSC_49P",4,0.282
"SympChck,CSC_52P",4,0.282
"SympChck,CSC_50C",4,0.282
"SRS,SRS_64",4,0.282
"WHODAS_SR,WHODAS_SR_12",4,0.282
"SCQ,SCQ_34",4,0.282
"CCSC,CCSC_23",4,0.282
"CCSC,CCSC_25",4,0.282
"SympChck,CSC_55fC",4,0.282
"SympChck,CSC_55cC",4,0.282
"CBCL,CBCL_103",4,0.282
"SympChck,CSC_55cP",4,0.282
"APQ_P,APQ_P_16",3,0.212
"APQ_SR,APQ_SR_07",3,0.212
"SympChck,CSC_04P",3,0.212
"ICU_P,ICU_P_16",3,0.212
"APQ_P,APQ_P_38",3,0.212
"APQ_P,APQ_P_40",3,0.212
"SRS,SRS_16",3,0.212
"ICU_P,ICU_P_11",3,0.212
"APQ_SR,APQ_SR_05",3,0.212
"PCIAT,PCIAT_03",3,0.212
"APQ_SR,APQ_SR_09",3,0.212
"PCIAT,PCIAT_05",3,0.212
"PCIAT,PCIAT_08",3,0.212
"MFQ_P,MFQ_P_33",3,0.212
"PCIAT,PCIAT_12",3,0.212
"CBCL,CBCL_109",3,0.212
"APQ_SR,APQ_SR_25",3,0.212
"SRS,SRS_14",3,0.212
"ICU_P,ICU_P_19",3,0.212
"SWAN,SWAN_14",3,0.212
"SWAN,SWAN_13",3,0.212
"SRS,SRS_02",3,0.212
"APQ_P,APQ_P_10",3,0.212
"SympChck,CSC_34C",3,0.212
"APQ_P,APQ_P_25",3,0.212
"APQ_SR,APQ_SR_13",3,0.212
"C3SR,C3SR_23",3,0.212
"C3SR,C3SR_24",3,0.212
"C3SR,C3SR_17",3,0.212
"C3SR,C3SR_16",3,0.212
"ICU_P,ICU_P_22",3,0.212
"APQ_SR,APQ_SR_11",3,0.212
"APQ_SR,APQ_SR_10",3,0.212
"APQ_P,APQ_P_15",3,0.212
"CBCL,CBCL_108",3,0.212
"C3SR,C3SR_31",3,0.212
"MFQ_P,MFQ_P_32",3,0.212
"PCIAT,PCIAT_15",3,0.212
"CCSC,CCSC_16",3,0.212
"ASSQ,ASSQ_07",3,0.212
"SympChck,CSC_24C",3,0.212
"SympChck,CSC_23C",3,0.212
"CCSC,CCSC_22",3,0.212
"SCQ,SCQ_37",3,0.212
"SCQ,SCQ_36",3,0.212
"SCQ,SCQ_35",3,0.212
"CCSC,CCSC_29",3,0.212
"CCSC,CCSC_31",3,0.212
"ESWAN,MDD_6",3,0.212
"SCQ,SCQ_18",3,0.212
"CCSC,CCSC_33",3,0.212
"CCSC,CCSC_35",3,0.212
"ESWAN,MDD_9",3,0.212
"CCSC,CCSC_36",3,0.212
"SympChck,CSC_14P",3,0.212
"SympChck,CSC_11C",3,0.212
"SympChck,CSC_55dP",3,0.212
"CCSC,CCSC_11",3,0.212
"CCSC,CCSC_10",3,0.212
"ESWAN,DMDD_4B",3,0.212
"ESWAN,SocAnx_04A",3,0.212
"SympChck,CSC_51C",3,0.212
"SDQ,SDQ_21",3,0.212
"PCIAT,PCIAT_18",3,0.212
"SDQ,SDQ_20",3,0.212
"MFQ_P,MFQ_P_29",3,0.212
"MFQ_P,MFQ_P_09",3,0.212
"SDQ,SDQ_13",3,0.212
"ICU_P,ICU_P_03",3,0.212
"C3SR,C3SR_32",3,0.212
"ESWAN,DMDD_4A",3,0.212
"DTS,DTS_15",3,0.212
"SympChck,CSC_28P",3,0.212
"CCSC,CCSC_03",3,0.212
"ESWAN,DMDD_2A",3,0.212
"CCSC,CCSC_04",3,0.212
"ESWAN,DMDD_3A",3,0.212
"CCSC,CCSC_08",3,0.212
"ESWAN,DMDD_3C",3,0.212
"SRS,SRS_17",3,0.212
"ICU_P,ICU_P_17",3,0.212
"SRS,SRS_38",3,0.212
"SRS,SRS_34",3,0.212
"SCARED_SR,SCARED_SR_38",3,0.212
"RBS,RBS_23",3,0.212
"CBCL,CBCL_98",3,0.212
"RBS,RBS_22",3,0.212
"SRS,SRS_30",3,0.212
"SympChck,CSC_01P",3,0.212
"CBCL,CBCL_32",3,0.212
"RBS,RBS_17",3,0.212
"PSI,PSI_24",3,0.212
"SCARED_SR,SCARED_SR_32",3,0.212
"CBCL,CBCL_39",3,0.212
"SRS,SRS_63",3,0.212
"SympChck,CSC_42C",3,0.212
"CBCL,CBCL_80",3,0.212
"CIS_P,CIS_P_05",3,0.212
"CBCL,CBCL_77",3,0.212
"PSI,PSI_33",3,0.212
"CBCL,CBCL_45",3,0.212
"CBCL,CBCL_46",3,0.212
"CBCL,CBCL_72",3,0.212
"SRS,SRS_40",3,0.212
"CBCL,CBCL_49",3,0.212
"SRS,SRS_42",3,0.212
"RBS,RBS_08",3,0.212
"CBCL,CBCL_60",3,0.212
"CBCL,CBCL_58",3,0.212
"SAS,SAS_10",3,0.212
"CBCL,CBCL_56F",3,0.212
"CBCL,CBCL_10",3,0.212
"CBCL,CBCL_04",3,0.212
"SympChck,CSC_41C",3,0.212
"RBS,RBS_30",3,0.212
"SRS,SRS_19",3,0.212
"WHODAS_SR,WHODAS_SR_05",3,0.212
"SCARED_P,SCARED_P_38",3,0.212
"APQ_SR,APQ_SR_35",3,0.212
"WHODAS_SR,WHODAS_SR_06",3,0.212
"SRS,SRS_20",3,0.212
"APQ_SR,APQ_SR_37",3,0.212
"WHODAS_SR,WHODAS_SR_07",3,0.212
"SRS,SRS_22",3,0.212
"SRS,SRS_23",3,0.212
"SCARED_P,SCARED_P_28",3,0.212
"CBCL,CBCL_105",3,0.212
"SCARED_P,SCARED_P_26",3,0.212
"CBCL,CBCL_56E",3,0.212
"CBCL,CBCL_100",3,0.212
"SympChck,CSC_40P",3,0.212
"SympChck,CSC_38C",3,0.212
"WHODAS_P,WHODAS_P_07",3,0.212
"WHODAS_P,WHODAS_P_09",3,0.212
"CBCL,CBCL_16",3,0.212
"SCARED_P,SCARED_P_21",3,0.212
"RBS,RBS_16",2,0.141
"RBS,RBS_11",2,0.141
"RBS,RBS_10",2,0.141
"WHODAS_SR,WHODAS_SR_08",2,0.141
"SCARED_SR,SCARED_SR_18",2,0.141
"SCARED_SR,SCARED_SR_17",2,0.141
"RBS,RBS_06",2,0.141
"WHODAS_SR,WHODAS_SR_10",2,0.141
"WHODAS_SR,WHODAS_SR_04",2,0.141
"SCARED_SR,SCARED_SR_19",2,0.141
"SCARED_SR,SCARED_SR_22",2,0.141
"CCSC,CCSC_54",2,0.141
"CCSC,CCSC_09",2,0.141
"RBS,RBS_32",2,0.141
"CIS_SR,CIS_SR_10",2,0.141
"RBS,RBS_14",2,0.141
"RBS,RBS_34",2,0.141
"CCSC,CCSC_21",2,0.141
"RBS,RBS_39",2,0.141
"CCSC,CCSC_17",2,0.141
"RBS,RBS_19",2,0.141
"CCSC,CCSC_15",2,0.141
"SCARED_SR,SCARED_SR_23",2,0.141
"CCSC,CCSC_30",2,0.141
"SCARED_SR,SCARED_SR_04",2,0.141
"CCSC,CCSC_12",2,0.141
"SCARED_SR,SCARED_SR_15",2,0.141
"RBS,RBS_20",2,0.141
"WHODAS_SR,WHODAS_SR_03",2,0.141
"CCSC,CCSC_38",2,0.141
"C3SR,C3SR_13",2,0.141
"RBS,RBS_05",2,0.141
"PSI,PSI_20",2,0.141
"C3SR,C3SR_26",2,0.141
"PSI,PSI_11",2,0.141
"SCARED_SR,SCARED_SR_37",2,0.141
"CIS_P,CIS_P_11",2,0.141
"CIS_P,CIS_P_07",2,0.141
"C3SR,C3SR_22",2,0.141
"WHODAS_P,WHODAS_P_11",2,0.141
"WHODAS_P,WHODAS_P_10",2,0.141
"C3SR,C3SR_21",2,0.141
"WHODAS_P,WHODAS_P_04",2,0.141
"PreInt_DevHx,growth_concerns",2,0.141
"C3SR,C3SR_20",2,0.141
"APQ_SR,APQ_SR_22",2,0.141
"C3SR,C3SR_12",2,0.141
"C3SR,C3SR_15",2,0.141
"C3SR,C3SR_14",2,0.141
"APQ_SR,APQ_SR_40",2,0.141
"APQ_SR,APQ_SR_39",2,0.141
"APQ_SR,APQ_SR_27",2,0.141
"APQ_SR,APQ_SR_29",2,0.141
"APQ_SR,APQ_SR_30",2,0.141
"PSI,PSI_12",2,0.141
"C3SR,C3SR_27",2,0.141
"SCARED_SR,SCARED_SR_25",2,0.141
"SCARED_SR,SCARED_SR_33",2,0.141
"SCARED_SR,SCARED_SR_26",2,0.141
"SAS,SAS_04",2,0.141
"MFQ_P,MFQ_P_02",2,0.141
"MFQ_P,MFQ_P_03",2,0.141
"SCARED_SR,SCARED_SR_27",2,0.141
"MFQ_P,MFQ_P_18",2,0.141
"C3SR,C3SR_30",2,0.141
"APQ_SR,APQ_SR_31",2,0.141
"SAS,SAS_03",2,0.141
"SAS,SAS_02",2,0.141
"PSI,PSI_32",2,0.141
"PSI,PSI_29",2,0.141
"APQ_SR,APQ_SR_01",2,0.141
"PSI,PSI_28",2,0.141
"C3SR,C3SR_29",2,0.141
"CCSC,CCSC_39",2,0.141
"SCARED_SR,SCARED_SR_31",2,0.141
"C3SR,C3SR_28",2,0.141
"PSI,PSI_27",2,0.141
"PSI,PSI_23",2,0.141
"APQ_SR,APQ_SR_08",2,0.141
"RBS,RBS_07",2,0.141
"CBCL,CBCL_95",2,0.141
"SCARED_P,SCARED_P_22",2,0.141
"APQ_P,APQ_P_19",2,0.141
"CBCL,CBCL_93",2,0.141
"SRS,SRS_25",2,0.141
"CBCL,CBCL_94",2,0.141
"SRS,SRS_18",2,0.141
"SRS,SRS_13",2,0.141
"SCARED_P,SCARED_P_02",2,0.141
"SRS,SRS_07",2,0.141
"SCARED_P,SCARED_P_09",2,0.141
"SRS,SRS_03",2,0.141
"SCARED_P,SCARED_P_14",2,0.141
"SCARED_P,SCARED_P_15",2,0.141
"SCARED_P,SCARED_P_16",2,0.141
"SCARED_P,SCARED_P_19",2,0.141
"SRS,SRS_65",2,0.141
"SCARED_P,SCARED_P_27",2,0.141
"SympChck,CSC_06C",2,0.141
"SDQ,SDQ_18",2,0.141
"SDQ,SDQ_11",2,0.141
"SDQ,SDQ_10",2,0.141
"SCARED_P,SCARED_P_37",2,0.141
"ASSQ,ASSQ_27",2,0.141
"ICU_P,ICU_P_20",2,0.141
"ASSQ,ASSQ_21",2,0.141
"ASSQ,ASSQ_18",2,0.141
"ASSQ,ASSQ_15",2,0.141
"ASSQ,ASSQ_14",2,0.141
"ASSQ,ASSQ_09",2,0.141
"CBCL,CBCL_91",2,0.141
"CBCL,CBCL_90",2,0.141
