,Respondents,Assessments,N of Assessments,Last Assessment
25,2055,"['Basic_Demos', 'PreInt_EduHx', 'PreInt_DevHx', 'WIAT', 'SympChck', 'SCQ', 'Barratt', 'ASSQ', 'ARI_P', 'SDQ', 'SWAN', 'SRS', 'CBCL', 'SCARED_P', 'ICU_P', 'APQ_P', 'PCIAT', 'DTS', 'ESWAN', 'MFQ_P', 'APQ_SR', 'WISC', 'WHODAS_P', 'CIS_P', 'PSI', 'SAS']",26,SAS
26,1991,"['Basic_Demos', 'PreInt_EduHx', 'PreInt_DevHx', 'WIAT', 'SympChck', 'SCQ', 'Barratt', 'ASSQ', 'ARI_P', 'SDQ', 'SWAN', 'SRS', 'CBCL', 'SCARED_P', 'ICU_P', 'APQ_P', 'PCIAT', 'DTS', 'ESWAN', 'MFQ_P', 'APQ_SR', 'WISC', 'WHODAS_P', 'CIS_P', 'PSI', 'SAS', 'RBS']",27,RBS
27,1974,"['Basic_Demos', 'PreInt_EduHx', 'PreInt_DevHx', 'WIAT', 'SympChck', 'SCQ', 'Barratt', 'ASSQ', 'ARI_P', 'SDQ', 'SWAN', 'SRS', 'CBCL', 'SCARED_P', 'ICU_P', 'APQ_P', 'PCIAT', 'DTS', 'ESWAN', 'MFQ_P', 'APQ_SR', 'WISC', 'WHODAS_P', 'CIS_P', 'PSI', 'SAS', 'RBS', 'PhenX_Neighborhood']",28,PhenX_Neighborhood
28,1943,"['Basic_Demos', 'PreInt_EduHx', 'PreInt_DevHx', 'WIAT', 'SympChck', 'SCQ', 'Barratt', 'ASSQ', 'ARI_P', 'SDQ', 'SWAN', 'SRS', 'CBCL', 'SCARED_P', 'ICU_P', 'APQ_P', 'PCIAT', 'DTS', 'ESWAN', 'MFQ_P', 'APQ_SR', 'WISC', 'WHODAS_P', 'CIS_P', 'PSI', 'SAS', 'RBS', 'PhenX_Neighborhood', 'WHODAS_SR']",29,WHODAS_SR
29,1919,"['Basic_Demos', 'PreInt_EduHx', 'PreInt_DevHx', 'WIAT', 'SympChck', 'SCQ', 'Barratt', 'ASSQ', 'ARI_P', 'SDQ', 'SWAN', 'SRS', 'CBCL', 'SCARED_P', 'ICU_P', 'APQ_P', 'PCIAT', 'DTS', 'ESWAN', 'MFQ_P', 'APQ_SR', 'WISC', 'WHODAS_P', 'CIS_P', 'PSI', 'SAS', 'RBS', 'PhenX_Neighborhood', 'WHODAS_SR', 'CIS_SR']",30,CIS_SR
30,1446,"['Basic_Demos', 'PreInt_EduHx', 'PreInt_DevHx', 'WIAT', 'SympChck', 'SCQ', 'Barratt', 'ASSQ', 'ARI_P', 'SDQ', 'SWAN', 'SRS', 'CBCL', 'SCARED_P', 'ICU_P', 'APQ_P', 'PCIAT', 'DTS', 'ESWAN', 'MFQ_P', 'APQ_SR', 'WISC', 'WHODAS_P', 'CIS_P', 'PSI', 'SAS', 'RBS', 'PhenX_Neighborhood', 'WHODAS_SR', 'CIS_SR', 'SCARED_SR']",31,SCARED_SR
31,1442,"['Basic_Demos', 'PreInt_EduHx', 'PreInt_DevHx', 'WIAT', 'SympChck', 'SCQ', 'Barratt', 'ASSQ', 'ARI_P', 'SDQ', 'SWAN', 'SRS', 'CBCL', 'SCARED_P', 'ICU_P', 'APQ_P', 'PCIAT', 'DTS', 'ESWAN', 'MFQ_P', 'APQ_SR', 'WISC', 'WHODAS_P', 'CIS_P', 'PSI', 'SAS', 'RBS', 'PhenX_Neighborhood', 'WHODAS_SR', 'CIS_SR', 'SCARED_SR', 'C3SR']",32,C3SR
32,1416,"['Basic_Demos', 'PreInt_EduHx', 'PreInt_DevHx', 'WIAT', 'SympChck', 'SCQ', 'Barratt', 'ASSQ', 'ARI_P', 'SDQ', 'SWAN', 'SRS', 'CBCL', 'SCARED_P', 'ICU_P', 'APQ_P', 'PCIAT', 'DTS', 'ESWAN', 'MFQ_P', 'APQ_SR', 'WISC', 'WHODAS_P', 'CIS_P', 'PSI', 'SAS', 'RBS', 'PhenX_Neighborhood', 'WHODAS_SR', 'CIS_SR', 'SCARED_SR', 'C3SR', 'CCSC']",33,CCSC
33,1164,"['Basic_Demos', 'PreInt_EduHx', 'PreInt_DevHx', 'WIAT', 'SympChck', 'SCQ', 'Barratt', 'ASSQ', 'ARI_P', 'SDQ', 'SWAN', 'SRS', 'CBCL', 'SCARED_P', 'ICU_P', 'APQ_P', 'PCIAT', 'DTS', 'ESWAN', 'MFQ_P', 'APQ_SR', 'WISC', 'WHODAS_P', 'CIS_P', 'PSI', 'SAS', 'RBS', 'PhenX_Neighborhood', 'WHODAS_SR', 'CIS_SR', 'SCARED_SR', 'C3SR', 'CCSC', 'CPIC']",34,CPIC
34,570,"['Basic_Demos', 'PreInt_EduHx', 'PreInt_DevHx', 'WIAT', 'SympChck', 'SCQ', 'Barratt', 'ASSQ', 'ARI_P', 'SDQ', 'SWAN', 'SRS', 'CBCL', 'SCARED_P', 'ICU_P', 'APQ_P', 'PCIAT', 'DTS', 'ESWAN', 'MFQ_P', 'APQ_SR', 'WISC', 'WHODAS_P', 'CIS_P', 'PSI', 'SAS', 'RBS', 'PhenX_Neighborhood', 'WHODAS_SR', 'CIS_SR', 'SCARED_SR', 'C3SR', 'CCSC', 'CPIC', 'YSR']",35,YSR
35,405,"['Basic_Demos', 'PreInt_EduHx', 'PreInt_DevHx', 'WIAT', 'SympChck', 'SCQ', 'Barratt', 'ASSQ', 'ARI_P', 'SDQ', 'SWAN', 'SRS', 'CBCL', 'SCARED_P', 'ICU_P', 'APQ_P', 'PCIAT', 'DTS', 'ESWAN', 'MFQ_P', 'APQ_SR', 'WISC', 'WHODAS_P', 'CIS_P', 'PSI', 'SAS', 'RBS', 'PhenX_Neighborhood', 'WHODAS_SR', 'CIS_SR', 'SCARED_SR', 'C3SR', 'CCSC', 'CPIC', 'YSR', 'PhenX_SchoolRisk']",36,PhenX_SchoolRisk
36,0,"['Basic_Demos', 'PreInt_EduHx', 'PreInt_DevHx', 'WIAT', 'SympChck', 'SCQ', 'Barratt', 'ASSQ', 'ARI_P', 'SDQ', 'SWAN', 'SRS', 'CBCL', 'SCARED_P', 'ICU_P', 'APQ_P', 'PCIAT', 'DTS', 'ESWAN', 'MFQ_P', 'APQ_SR', 'WISC', 'WHODAS_P', 'CIS_P', 'PSI', 'SAS', 'RBS', 'PhenX_Neighborhood', 'WHODAS_SR', 'CIS_SR', 'SCARED_SR', 'C3SR', 'CCSC', 'CPIC', 'YSR', 'PhenX_SchoolRisk', 'CBCL_Pre']",37,CBCL_Pre
37,0,"['Basic_Demos', 'PreInt_EduHx', 'PreInt_DevHx', 'WIAT', 'SympChck', 'SCQ', 'Barratt', 'ASSQ', 'ARI_P', 'SDQ', 'SWAN', 'SRS', 'CBCL', 'SCARED_P', 'ICU_P', 'APQ_P', 'PCIAT', 'DTS', 'ESWAN', 'MFQ_P', 'APQ_SR', 'WISC', 'WHODAS_P', 'CIS_P', 'PSI', 'SAS', 'RBS', 'PhenX_Neighborhood', 'WHODAS_SR', 'CIS_SR', 'SCARED_SR', 'C3SR', 'CCSC', 'CPIC', 'YSR', 'PhenX_SchoolRisk', 'CBCL_Pre', 'SRS_Pre']",38,SRS_Pre
38,0,"['Basic_Demos', 'PreInt_EduHx', 'PreInt_DevHx', 'WIAT', 'SympChck', 'SCQ', 'Barratt', 'ASSQ', 'ARI_P', 'SDQ', 'SWAN', 'SRS', 'CBCL', 'SCARED_P', 'ICU_P', 'APQ_P', 'PCIAT', 'DTS', 'ESWAN', 'MFQ_P', 'APQ_SR', 'WISC', 'WHODAS_P', 'CIS_P', 'PSI', 'SAS', 'RBS', 'PhenX_Neighborhood', 'WHODAS_SR', 'CIS_SR', 'SCARED_SR', 'C3SR', 'CCSC', 'CPIC', 'YSR', 'PhenX_SchoolRisk', 'CBCL_Pre', 'SRS_Pre', 'ASR']",39,ASR
